code	0-15 hours	16-30 hours	31-48 hours	49+ hours
E00000391	4	16	72	10
E00000392	9	34	56	14
E00000393	14	30	93	15
E00000394	13	28	77	11
E00000395	15	27	92	7
E00000396	7	25	76	10
E00000397	8	28	88	3
E00000398	11	20	86	21
E00000399	8	31	77	7
E00000400	19	27	95	21
E00000401	9	20	76	12
E00000402	12	29	78	7
E00000403	12	32	104	14
E00000404	8	17	82	9
E00000405	10	31	71	8
E00000406	16	36	67	19
E00000407	13	36	81	10
E00000408	8	29	71	20
E00000409	8	20	72	17
E00000410	11	17	82	11
E00000411	7	27	65	8
E00000412	7	24	54	9
E00000413	10	23	59	13
E00000414	11	22	66	9
E00000415	14	19	71	9
E00000416	11	37	111	20
E00000417	14	18	67	13
E00000418	8	40	79	14
E00000419	11	26	95	16
E00000420	7	29	79	9
E00000421	11	39	104	21
E00000422	15	29	113	17
E00000423	25	23	91	13
E00000424	8	35	95	13
E00000425	12	24	100	12
E00000426	10	19	72	10
E00000427	17	28	94	12
E00000428	15	40	92	11
E00000429	15	37	81	15
E00000430	11	31	83	15
E00000431	12	48	92	24
E00000432	12	24	86	12
E00000433	9	29	84	18
E00000434	16	35	88	12
E00000435	13	35	92	9
E00000436	13	29	86	23
E00000437	18	29	98	13
E00000438	14	36	113	17
E00000439	10	26	59	22
E00000440	23	35	83	17
E00000441	18	31	84	13
E00000442	10	30	70	12
E00000443	6	28	70	14
E00000444	8	26	102	11
E00000445	12	30	95	15
E00000446	13	29	90	8
E00000447	7	19	46	9
E00000448	5	27	81	16
E00000449	13	38	92	14
E00000450	16	18	107	12
E00000451	7	24	59	8
E00000452	17	57	170	25
E00000453	12	25	79	9
E00000454	17	19	57	13
E00000455	9	33	106	11
E00000456	10	18	96	9
E00000457	11	22	112	12
E00000458	13	18	49	5
E00000459	10	22	48	8
E00000460	15	21	47	4
E00000461	6	22	46	13
E00000462	14	27	63	2
E00000463	22	28	96	16
E00000464	13	33	95	11
E00000465	15	41	93	13
E00000466	9	18	66	15
E00000467	14	22	62	12
E00000468	13	21	48	8
E00000469	16	37	125	20
E00000470	14	34	92	10
E00000471	9	25	75	14
E00000472	7	18	59	7
E00000474	14	30	94	20
E00000475	8	27	74	12
E00000476	17	23	64	10
E00000477	7	8	37	6
E00000478	18	23	85	7
E00000479	3	14	32	3
E00000480	10	17	68	16
E00000481	11	18	82	15
E00000482	9	25	66	15
E00000483	18	27	115	10
E00000484	13	36	85	15
E00000485	20	31	72	11
E00000486	14	22	78	18
E00000487	10	31	78	8
E00000488	19	28	92	14
E00000489	18	26	86	15
E00000490	11	44	98	14
E00000491	10	30	75	20
E00000492	11	28	77	14
E00000493	16	21	93	7
E00000494	25	38	92	21
E00000495	13	22	62	17
E00000496	18	25	76	18
E00000497	12	24	83	5
E00000498	9	18	78	12
E00000499	11	27	94	12
E00000500	10	16	81	12
E00000501	5	22	52	11
E00000502	10	20	74	8
E00000503	9	14	91	12
E00000504	11	22	55	15
E00000505	15	21	91	11
E00000506	15	29	92	10
E00000507	8	23	99	18
E00000508	9	28	75	11
E00000509	5	16	65	9
E00000510	13	26	67	11
E00000511	12	21	67	15
E00000512	5	17	72	17
E00000513	10	39	110	15
E00000514	9	23	68	8
E00000515	3	18	94	13
E00000516	10	15	43	9
E00000517	5	12	73	23
E00000518	9	20	74	10
E00000519	10	29	88	12
E00000520	8	33	149	18
E00000521	13	30	89	12
E00000522	14	24	67	12
E00000523	10	29	98	11
E00000524	12	14	58	7
E00000525	11	32	98	8
E00000526	15	27	89	12
E00000527	23	29	81	11
E00000528	11	26	62	6
E00000529	6	14	45	6
E00000530	9	14	55	13
E00000531	9	23	76	10
E00000532	17	37	91	16
E00000533	8	18	65	8
E00000534	10	27	61	7
E00000535	16	18	52	13
E00000536	9	22	82	7
E00000537	10	35	127	13
E00000538	13	23	77	15
E00000539	10	33	82	17
E00000540	14	24	105	11
E00000541	6	20	86	13
E00000542	4	14	46	8
E00000543	16	29	106	7
E00000544	11	35	107	14
E00000545	12	30	75	14
E00000546	9	19	71	14
E00000547	20	32	103	13
E00000548	12	26	85	10
E00000549	10	21	99	12
E00000550	17	23	110	17
E00000551	15	26	69	8
E00000552	15	28	109	11
E00000553	16	31	100	19
E00000554	17	28	90	26
E00000555	19	42	106	18
E00000556	16	26	80	8
E00000557	10	24	68	14
E00000558	10	14	75	16
E00000559	19	28	88	16
E00000560	9	40	108	21
E00000561	15	29	102	21
E00000562	13	38	113	22
E00000563	9	18	55	10
E00000564	17	19	88	16
E00000565	8	22	83	18
E00000566	19	42	108	33
E00000567	11	37	88	16
E00000568	16	22	68	11
E00000569	14	30	100	21
E00000570	10	21	87	17
E00000571	22	28	118	26
E00000572	9	25	105	15
E00000573	22	37	156	17
E00000574	13	30	91	13
E00000575	15	29	100	14
E00000576	18	35	113	27
E00000577	10	15	71	15
E00000578	17	32	122	26
E00000579	17	50	104	24
E00000580	18	38	100	28
E00000581	15	40	147	38
E00000582	27	56	146	46
E00000583	26	48	142	32
E00000584	33	30	100	20
E00000585	18	37	102	20
E00000586	16	26	86	25
E00000587	19	41	102	20
E00000588	13	34	98	30
E00000589	17	27	85	20
E00000590	20	34	98	12
E00000591	10	23	79	17
E00000592	13	32	72	19
E00000593	13	36	112	36
E00000594	16	31	91	19
E00000595	14	34	72	14
E00000596	14	23	101	29
E00000597	20	30	94	22
E00000598	16	39	131	19
E00000599	13	22	63	9
E00000600	23	29	112	16
E00000601	12	36	97	32
E00000602	14	29	123	19
E00000603	20	35	96	17
E00000604	13	28	114	19
E00000605	23	35	100	35
E00000606	12	24	91	11
E00000607	18	32	83	17
E00000608	14	34	114	24
E00000609	19	32	118	31
E00000610	23	41	103	28
E00000611	17	34	83	26
E00000612	12	30	94	22
E00000613	27	34	94	32
E00000614	21	40	82	19
E00000615	20	24	105	19
E00000616	24	42	122	27
E00000617	20	31	100	18
E00000618	13	24	75	16
E00000619	16	33	84	26
E00000620	17	40	109	29
E00000622	11	20	59	15
E00000623	19	37	109	18
E00000624	8	33	113	20
E00000625	15	33	96	14
E00000626	9	32	67	13
E00000627	18	45	75	11
E00000628	18	42	102	16
E00000629	22	48	110	25
E00000630	16	31	94	12
E00000631	11	29	102	19
E00000632	12	31	62	11
E00000633	12	47	87	12
E00000634	14	30	93	18
E00000635	16	22	75	9
E00000636	12	34	100	10
E00000637	17	28	97	15
E00000638	13	29	113	23
E00000640	13	28	80	19
E00000641	15	26	84	18
E00000642	17	32	87	16
E00000643	14	24	94	20
E00000644	20	33	82	4
E00000645	5	23	81	18
E00000646	12	30	76	19
E00000647	16	48	84	19
E00000648	18	41	84	14
E00000649	13	28	72	17
E00000650	16	31	98	21
E00000651	13	41	84	11
E00000652	14	16	69	11
E00000653	14	43	101	13
E00000654	14	26	76	7
E00000655	8	21	108	13
E00000656	12	29	81	23
E00000657	27	50	94	11
E00000658	32	43	121	26
E00000659	4	32	75	13
E00000660	9	21	100	10
E00000661	18	33	123	16
E00000662	13	33	80	14
E00000663	14	26	53	5
E00000664	7	9	45	8
E00000665	29	57	130	24
E00000666	22	56	94	22
E00000667	17	34	91	20
E00000668	19	42	78	16
E00000669	23	25	97	43
E00000670	14	36	95	25
E00000671	17	21	80	37
E00000672	17	38	99	34
E00000674	26	30	88	53
E00000675	12	28	101	28
E00000676	10	36	142	20
E00000677	15	46	103	21
E00000678	6	32	93	26
E00000679	14	35	99	20
E00000680	23	35	74	14
E00000681	11	32	133	32
E00000682	20	30	53	23
E00000683	12	29	86	18
E00000684	9	42	101	22
E00000685	18	38	111	28
E00000686	23	40	102	26
E00000687	19	39	91	31
E00000688	23	21	74	39
E00000689	21	32	66	20
E00000690	23	31	75	23
E00000691	16	26	78	28
E00000692	11	38	96	37
E00000693	19	38	106	38
E00000694	14	23	76	40
E00000695	14	30	75	33
E00000696	23	48	168	37
E00000697	33	32	80	35
E00000698	19	38	99	36
E00000699	23	27	105	27
E00000700	10	26	100	45
E00000701	21	29	73	24
E00000702	19	34	134	30
E00000703	21	23	64	49
E00000704	12	15	72	21
E00000705	17	27	79	44
E00000706	18	23	80	40
E00000707	21	33	100	45
E00000708	26	30	88	36
E00000709	16	33	86	9
E00000710	21	35	91	25
E00000711	17	29	83	28
E00000712	17	37	86	20
E00000713	12	36	85	30
E00000714	16	30	86	28
E00000715	20	36	123	20
E00000716	14	42	104	20
E00000717	9	23	59	6
E00000718	7	24	78	12
E00000719	9	36	106	26
E00000720	17	29	92	24
E00000721	17	31	110	25
E00000722	15	35	67	50
E00000723	14	29	100	12
E00000724	11	28	82	18
E00000725	20	35	118	21
E00000726	22	45	131	21
E00000727	15	39	124	27
E00000728	18	43	120	26
E00000729	14	47	100	28
E00000730	11	44	138	24
E00000731	22	28	86	25
E00000732	30	37	129	26
E00000733	16	26	108	23
E00000734	20	46	92	20
E00000736	14	32	73	11
E00000737	17	33	52	4
E00000738	7	34	64	5
E00000739	12	33	80	12
E00000740	19	22	49	6
E00000742	9	37	47	6
E00000743	15	27	46	5
E00000744	21	31	69	3
E00000745	11	29	50	8
E00000746	18	44	69	4
E00000747	10	32	59	9
E00000748	17	35	109	15
E00000749	11	26	48	5
E00000750	14	28	63	8
E00000751	7	27	82	9
E00000752	14	32	93	13
E00000754	8	26	67	16
E00000755	8	26	98	15
E00000756	16	35	81	23
E00000757	12	26	97	26
E00000758	16	26	82	16
E00000760	14	28	85	18
E00000761	6	23	88	14
E00000762	10	19	61	18
E00000763	9	33	71	9
E00000764	17	40	104	30
E00000765	15	21	81	15
E00000766	15	61	164	22
E00000767	11	42	88	15
E00000768	11	20	86	14
E00000769	22	43	125	40
E00000770	19	34	125	35
E00000771	2	19	180	15
E00000772	12	30	76	23
E00000773	7	32	63	16
E00000774	9	23	88	14
E00000775	22	40	112	19
E00000776	17	30	125	28
E00000777	18	37	86	37
E00000778	21	33	126	30
E00000779	17	33	114	28
E00000780	17	32	104	19
E00000781	20	34	84	19
E00000782	17	39	105	29
E00000783	7	30	94	20
E00000785	22	39	139	22
E00000786	22	41	220	30
E00000787	20	22	118	41
E00000788	13	23	86	15
E00000789	10	21	56	11
E00000790	10	14	76	16
E00000791	10	31	84	15
E00000792	16	15	93	9
E00000793	19	32	114	29
E00000794	16	33	78	18
E00000795	20	36	115	18
E00000796	12	35	90	17
E00000797	17	32	97	24
E00000798	12	20	105	17
E00000799	11	23	99	29
E00000800	17	34	104	34
E00000801	16	22	105	20
E00000802	17	34	79	24
E00000803	9	15	110	23
E00000804	15	46	129	45
E00000805	20	32	130	42
E00000806	16	30	81	33
E00000807	10	25	53	10
E00000808	10	26	81	15
E00000809	11	25	39	12
E00000810	10	26	86	29
E00000811	15	33	91	36
E00000812	23	42	100	30
E00000813	5	36	124	29
E00000814	12	21	98	18
E00000815	14	20	94	19
E00000816	15	24	117	21
E00000817	26	34	107	31
E00000818	17	34	97	27
E00000819	18	35	65	12
E00000820	16	25	94	25
E00000821	14	13	83	15
E00000822	3	25	73	14
E00000823	10	17	114	27
E00000824	17	25	69	19
E00000825	13	15	85	24
E00000826	11	23	84	15
E00000827	9	19	77	24
E00000828	19	16	67	22
E00000829	18	34	90	42
E00000830	20	43	120	25
E00000831	22	30	112	19
E00000832	16	19	83	23
E00000833	18	20	86	11
E00000834	13	31	82	24
E00000835	11	36	66	17
E00000836	26	34	79	28
E00000837	11	13	41	16
E00000838	4	24	95	14
E00000839	11	31	77	21
E00000840	17	26	106	19
E00000841	20	28	70	30
E00000842	9	24	85	17
E00000843	12	22	127	23
E00000844	8	25	87	20
E00000845	14	31	82	18
E00000846	13	34	113	20
E00000847	18	32	99	30
E00000848	16	29	104	18
E00000849	13	31	83	24
E00000850	20	23	70	14
E00000851	12	38	109	18
E00000852	11	40	94	22
E00000853	14	28	75	23
E00000854	22	30	103	32
