code	AB Upper Middle Class	C1 Lower Middle Class	C2 Skilled Working Class	DE Working Class
E00000345	19	32	25	22
E00000346	18	18	21	23
E00000347	24	29	15	13
E00000348	38	47	32	43
E00000349	16	32	27	20
E00000350	16	28	17	23
E00000351	17	36	27	22
E00000352	40	47	20	41
E00000353	17	41	19	27
E00000354	14	24	21	36
E00000355	20	46	25	36
E00000356	19	27	21	30
E00000357	24	45	20	30
E00000358	10	37	20	37
E00000360	11	26	18	44
E00000361	11	30	29	41
E00000362	3	31	25	31
E00000363	11	17	17	36
E00000364	5	27	20	30
E00000365	8	17	25	33
E00000366	8	26	16	31
E00000367	13	27	29	43
E00000368	10	25	22	28
E00000369	12	30	26	24
E00000370	5	32	21	38
E00000371	13	31	21	35
E00000372	9	38	20	49
E00000373	10	25	23	34
E00000374	9	30	24	41
E00000375	9	30	27	22
E00000376	9	28	19	25
E00000377	11	32	20	23
E00000378	6	17	22	26
E00000379	2	36	29	40
E00000380	8	33	27	47
E00000381	7	32	16	49
E00000382	10	29	33	31
E00000383	5	19	26	39
E00000384	11	32	31	32
E00000385	10	39	26	41
E00000386	10	30	29	28
E00000387	8	33	23	35
E00000388	4	32	17	43
E00000389	12	30	25	34
E00000390	11	38	25	31
E00000391	9	32	22	38
E00000392	8	24	23	42
E00000393	13	28	31	45
E00000394	6	29	17	38
E00000395	10	34	25	35
E00000396	7	34	26	31
E00000397	7	36	29	54
E00000398	11	25	31	31
E00000399	10	22	31	30
E00000400	5	32	34	31
E00000401	5	26	21	45
E00000402	10	27	27	29
E00000403	15	37	35	27
E00000404	8	29	32	42
E00000405	7	21	27	36
E00000406	7	30	27	31
E00000407	12	32	25	42
E00000408	12	29	32	26
E00000409	8	22	23	36
E00000410	11	29	24	26
E00000411	10	20	22	17
E00000412	8	24	22	22
E00000413	9	28	23	31
E00000414	11	29	22	31
E00000415	9	23	23	37
E00000416	14	46	40	52
E00000417	5	19	26	28
E00000418	10	22	38	37
E00000419	12	33	23	34
E00000420	9	19	18	31
E00000421	10	37	34	30
E00000422	5	33	31	43
E00000423	12	32	26	32
E00000424	14	43	30	36
E00000425	6	32	24	42
E00000426	7	23	22	31
E00000427	14	26	30	20
E00000428	15	40	13	31
E00000429	8	29	29	43
E00000430	10	23	27	36
E00000431	13	39	41	53
E00000432	9	30	23	33
E00000433	12	29	29	23
E00000434	8	32	30	39
E00000435	12	33	29	37
E00000436	12	35	26	28
E00000437	9	31	26	35
E00000438	16	38	37	39
E00000439	8	21	21	34
E00000440	9	35	34	47
E00000441	11	19	25	48
E00000442	8	27	32	36
E00000443	10	21	29	37
E00000444	12	32	25	24
E00000445	8	27	35	34
E00000446	9	24	33	48
E00000447	3	22	21	43
E00000448	12	23	22	42
E00000449	5	32	33	59
E00000450	15	37	21	39
E00000451	6	18	18	26
E00000452	47	64	45	55
E00000453	9	33	26	35
E00000454	7	25	29	53
E00000455	24	53	18	32
E00000456	8	40	30	53
E00000457	15	50	14	26
E00000458	2	21	29	39
E00000459	5	22	17	44
E00000460	3	23	22	44
E00000461	3	13	17	22
E00000462	7	22	21	43
E00000463	14	31	32	23
E00000464	12	27	33	32
E00000465	9	36	36	45
E00000466	4	25	28	30
E00000467	9	28	22	35
E00000468	5	23	20	37
E00000469	26	55	25	33
E00000470	17	31	20	27
E00000471	9	28	32	45
E00000472	10	29	24	45
E00000474	12	26	26	46
E00000475	6	31	24	57
E00000476	11	33	30	62
E00000477	6	21	12	9
E00000478	9	38	15	32
E00000479	8	23	5	14
E00000480	10	32	32	47
E00000481	8	39	26	41
E00000482	7	28	23	36
E00000483	15	30	31	29
E00000484	10	37	27	30
E00000485	12	36	19	38
E00000486	17	28	27	33
E00000487	9	21	17	24
E00000488	14	31	27	40
E00000489	15	28	23	43
E00000490	9	36	36	31
E00000491	8	37	25	39
E00000492	10	25	27	32
E00000493	9	29	32	22
E00000494	14	26	33	32
E00000495	15	19	22	27
E00000496	17	25	22	26
E00000497	8	27	21	45
E00000498	5	27	18	33
E00000499	14	28	26	35
E00000500	6	36	30	31
E00000501	5	20	19	22
E00000502	16	32	22	26
E00000503	6	28	28	33
E00000504	6	20	19	33
E00000505	14	28	23	33
E00000506	6	30	33	34
E00000507	13	38	25	33
E00000508	8	29	25	30
E00000509	11	21	19	32
E00000510	12	26	20	33
E00000511	5	28	40	74
E00000512	10	29	24	43
E00000513	17	30	32	26
E00000514	10	29	16	23
E00000515	15	42	33	37
E00000516	9	30	19	43
E00000517	5	36	18	35
E00000518	10	24	22	27
E00000519	8	33	21	29
E00000520	17	49	59	47
E00000521	9	31	24	42
E00000522	6	35	32	66
E00000523	8	19	23	49
E00000524	10	27	25	36
E00000525	11	46	36	62
E00000526	7	38	33	41
E00000527	9	26	21	21
E00000528	13	21	26	46
E00000529	5	19	17	17
E00000530	4	26	29	50
E00000531	12	36	20	35
E00000532	7	35	31	37
E00000533	9	18	20	41
E00000534	3	32	19	23
E00000535	7	16	15	43
E00000536	5	30	27	47
E00000537	27	40	28	35
E00000538	10	38	15	21
E00000539	5	22	33	23
E00000540	13	28	30	22
E00000541	5	55	25	43
E00000542	11	25	16	26
E00000543	16	26	23	42
E00000544	14	44	28	36
E00000545	13	27	18	33
E00000546	12	27	20	25
E00000547	14	28	24	29
E00000548	19	26	22	27
E00000549	25	32	31	28
E00000550	15	29	31	33
E00000551	10	43	23	34
E00000552	14	38	30	22
E00000553	13	34	36	36
E00000554	14	39	18	21
E00000555	18	40	29	33
